SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
1,900,,,,1,1,World,0,World,3,High,2022,7941658.316,7982260.25,4012265.713,3969994.536,61.2121,101.0648,30.2125,81204.199,10.167,81203.867,1.017,68.1561,148549.649,13867.919,18.598,2.5658,1.1762,28.285,105.8,67345.45,36263.683,31081.767,8.431,71.7613,69.1938,74.4421,59.9915,57.4753,62.6034,16.6909,15.1856,18.0663,7.9509,7.1082,8.5578,3936.913,26.8787,145220.415,5214.522,36.219,84.5979,94.8101,73.7523,190.6557,224.0637,155.5579,78.9306,95.6832,61.2972,152.9674,185.9613,118.4835,0,0
1,900,,,,1,1,World,0,World,3,High,2023,8022862.183,8066769.578,4054038.46,4012731.118,61.8601,101.0294,30.3983,87815.38,10.886,87814.789,1.089,63.6499,148880.556,13832.252,18.456,2.5634,1.1786,28.321,105.7,61065.176,32829.419,28235.757,7.57,73.4132,70.8521,76.041,61.6477,59.1645,64.1756,17.7357,16.2238,19.0877,8.4881,7.6396,9.0902,3876.936,26.0524,145637.701,5169.793,35.4303,80.118,89.8952,69.731,171.8272,202.4419,139.7454,70.3188,85.3445,54.5172,134.1008,163.8617,103.0988,0,0
1,900,,,,1,1,World,0,World,3,High,2024,8110676.972,8154602.266,4097575.617,4057026.648,62.5337,100.9995,30.585,87851.03,10.773,87850.587,1.077,64.3591,149132.629,13801.557,18.288,2.5591,1.1784,28.358,105.6,61281.599,32966.98,28314.619,7.515,73.7323,71.1609,76.3683,61.9306,59.4498,64.4525,17.9222,16.4059,19.2771,8.5891,7.7381,9.1962,3805.563,25.5271,145945.866,5120.857,34.8232,78.9015,88.7101,68.4748,168.6507,198.9342,136.8948,69.0392,83.8194,53.4879,131.3605,160.6228,100.8649,0,0
1,900,,,,1,1,World,0,World,3,High,2025,8198527.559,8242091.446,4140877.956,4101213.49,63.2046,100.9671,30.7644,87128.364,10.571,87127.774,1.057,65.5768,149411.451,13778.906,18.128,2.5547,1.1772,28.396,105.5,62283.087,33502.505,28780.582,7.557,73.8593,71.2832,76.5013,62.0592,59.5877,64.5716,18.0117,16.5009,19.362,8.6369,7.7905,9.244,3791.034,25.3811,146237.327,5138.562,34.7003,78.7597,88.7101,68.1754,167.5807,197.7388,135.922,68.6468,83.311,53.2068,130.2816,159.2495,100.0684,0,0
1,900,,,,1,1,World,0,World,3,High,2026,8285655.333,8328842.776,4183749.013,4145093.764,63.8699,100.9326,30.9372,86375.586,10.371,86374.887,1.037,66.8416,149662.466,13764.901,17.969,2.5492,1.1762,28.435,105.4,63286.88,34035.469,29251.411,7.598,74.0215,71.4444,76.6658,62.1772,59.7147,64.681,18.0852,16.5793,19.4323,8.6813,7.838,9.2892,3727.705,24.9166,146538.126,5078.086,34.0711,77.8513,87.8591,67.2,165.9868,196.0046,134.4478,68.0612,82.6024,52.7413,129.2093,157.9138,99.2479,0,0
1,900,,,,1,1,World,0,World,3,High,2027,8372030.22,8419249.044,4228449.791,4190799.253,64.5631,100.8984,31.0858,94438.16,11.212,94437.648,1.122,61.7778,158893.9,14424.433,18.865,2.6956,1.2455,28.497,105.3,64455.74,34657.474,29798.266,7.653,74.2053,71.6285,76.8504,62.295,59.8412,64.7907,18.1622,16.6609,19.5064,8.7323,7.8913,9.3412,3807.958,24.1613,155671.853,5152.942,33.1886,76.6959,86.7357,66.0048,164.1321,193.9958,132.7295,67.4575,81.8744,52.2593,128.12,156.5664,98.4058,0,0
1,900,,,,1,1,World,0,World,3,High,2028,8466467.868,8513318.61,4274984.428,4238334.182,65.2845,100.8647,31.2092,93702.095,11.006,93701.484,1.101,62.9561,159251.668,14381.23,18.706,2.6896,1.2443,28.538,105.2,65549.573,35237.235,30312.338,7.7,74.3652,71.7863,77.0137,62.4098,59.9636,64.8986,18.2455,16.7473,19.5883,8.7864,7.9458,9.3975,3773.059,23.7023,156080.381,5116.751,32.608,75.8544,85.954,65.0959,162.6456,192.3866,131.3476,66.9033,81.1999,51.8228,127.1663,155.3729,97.6819,0,0
1,900,,,,1,1,World,0,World,3,High,2029,8560169.352,8606671.688,4321109.038,4285562.65,66.0004,100.8294,31.3252,93005.103,10.806,93004.672,1.081,64.1209,159652.168,14329.299,18.55,2.6833,1.2429,28.578,105.2,66647.065,35808.763,30838.302,7.744,74.5244,71.9465,77.173,62.5243,60.0873,65.0043,18.3305,16.8369,19.6705,8.8379,7.9976,9.4508,3713.862,23.2731,156527.146,5062.327,32.0333,75.024,85.1628,64.2207,161.2325,190.8303,130.0649,66.3622,80.5302,51.4087,126.2857,154.2478,97.039,0,0
1,900,,,,1,1,World,0,World,3,High,2030,8653174.024,8699311.724,4366835.33,4332476.394,66.7108,100.7931,31.4346,92275.876,10.607,92275.399,1.061,65.3296,160031.706,14259.949,18.396,2.6759,1.2409,28.616,105.1,67755.83,36383.928,31371.902,7.789,74.6831,72.1057,77.3322,62.6397,60.2113,65.1116,18.416,16.9268,19.7535,8.8869,8.0454,9.5021,3655.385,22.8509,156952.427,5003.875,31.4764,74.2232,84.4016,63.3755,159.8513,189.3105,128.8114,65.8299,79.869,51.0042,125.4215,153.1475,96.4058,0,0
290,876,2,WLF,WF,876,4,Country/Area,957,Wallis and Futuna Islands,207,Lower 95 PI,2101,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,